symbol,name,exchange,yahoo_symbol,kite_symbol,upstox_instrument_key,sector,industry,base_price,enabled
ALICON,ALICON CASTALLOY LIMITED,NSE,ALICON.NS,NSE:ALICON,NSE_EQ|INE062D01024,,,100.0,1
ALIVUS,ALIVUS LIFE SCIENCES LTD,NSE,ALIVUS.NS,NSE:ALIVUS,NSE_EQ|INE03Q201024,,,100.0,1
ALKALI,ALKALI METALS LTD,NSE,ALKALI.NS,NSE:ALKALI,NSE_EQ|INE773I01017,,,100.0,1
ALKEM,ALKEM LABORATORIES LTD.,NSE,ALKEM.NS,NSE:ALKEM,NSE_EQ|INE540L01014,,,100.0,1
ALKYLAMINE,ALKYL AMINES CHEM. LTD,NSE,ALKYLAMINE.NS,NSE:ALKYLAMINE,NSE_EQ|INE150B01039,,,100.0,1
ALLCARGO,ALLCARGO LOGISTICS LTD,NSE,ALLCARGO.NS,NSE:ALLCARGO,NSE_EQ|INE418H01029,,,100.0,1
ALLDIGI,ALLDIGI TECH LIMITED,NSE,ALLDIGI.NS,NSE:ALLDIGI,NSE_EQ|INE835G01018,,,100.0,1
ALLTIME,ALL TIME PLASTICS LIMITED,NSE,ALLTIME.NS,NSE:ALLTIME,NSE_EQ|INE0GV601021,,,100.0,1
ALMONDZ,ALMONDZ GLOBAL SEC LTD,NSE,ALMONDZ.NS,NSE:ALMONDZ,NSE_EQ|INE326B01035,,,100.0,1
ALOKINDS,ALOK INDUSTRIES LIMITED,NSE,ALOKINDS.NS,NSE:ALOKINDS,NSE_EQ|INE270A01029,,,100.0,1
ALPA,ALPA LABORATORIES LTD,NSE,ALPA.NS,NSE:ALPA,NSE_EQ|INE385I01010,,,100.0,1
ALPHA,KOTAKMAMC - KOTAKALPHA,NSE,ALPHA.NS,NSE:ALPHA,NSE_EQ|INF174KA1IA5,,,100.0,1
ALPHAETF,MIRAEAMC - ALPHAETF,NSE,ALPHAETF.NS,NSE:ALPHAETF,NSE_EQ|INF769K01KU7,,,100.0,1
ALPHAGEO,ALPHAGEO (INDIA) LIMITED,NSE,ALPHAGEO.NS,NSE:ALPHAGEO,NSE_EQ|INE137C01018,,,100.0,1
ALPL30IETF,ICICIPRAMC - ICICIALPLV,NSE,ALPL30IETF.NS,NSE:ALPL30IETF,NSE_EQ|INF109KC17V7,,,100.0,1
AMAGI,AMAGI MEDIA LABS LIMITED,NSE,AMAGI.NS,NSE:AMAGI,NSE_EQ|INE121R01077,,,100.0,1
AMANTA,AMANTA HEALTHCARE LIMITED,NSE,AMANTA.NS,NSE:AMANTA,NSE_EQ|INE084K01015,,,100.0,1
AMBALALSA,AMBALAL SARABHAI ENT L,NSE,AMBALALSA.NS,NSE:AMBALALSA,NSE_EQ|INE432A01017,,,100.0,1
AMBER,AMBER ENTERPRISES (I) LTD,NSE,AMBER.NS,NSE:AMBER,NSE_EQ|INE371P01015,,,100.0,1
AMBICAAGAR,AMBICA AGAR & AROMAINDLTD,NSE,AMBICAAGAR.NS,NSE:AMBICAAGAR,NSE_EQ|INE792B01012,,,100.0,1
AMBIKCO,AMBIKA COTTON MILL LTD.,NSE,AMBIKCO.NS,NSE:AMBIKCO,NSE_EQ|INE540G01014,,,100.0,1
AMBUJACEM,AMBUJA CEMENTS LTD,NSE,AMBUJACEM.NS,NSE:AMBUJACEM,NSE_EQ|INE079A01024,,,100.0,1
AMDIND,AMD INDUSTRIES LIMITED,NSE,AMDIND.NS,NSE:AMDIND,NSE_EQ|INE005I01014,,,100.0,1
AMIRCHAND,AMIR CHAND JAG KUM (E) L,NSE,AMIRCHAND.NS,NSE:AMIRCHAND,NSE_EQ|INE05TO01019,,,100.0,1
AMJLAND,AMJ LAND HOLDINGS LIMITED,NSE,AMJLAND.NS,NSE:AMJLAND,NSE_EQ|INE606A01024,,,100.0,1
AMNPLST,AMINES & PLASTICIZERS LTD,NSE,AMNPLST.NS,NSE:AMNPLST,NSE_EQ|INE275D01022,,,100.0,1
AMRUTANJAN,AMRUTAJAN HEALTH LTD,NSE,AMRUTANJAN.NS,NSE:AMRUTANJAN,NSE_EQ|INE098F01031,,,100.0,1
ANANDRATHI,ANAND RATHI WEALTH LTD,NSE,ANANDRATHI.NS,NSE:ANANDRATHI,NSE_EQ|INE463V01026,,,100.0,1
